ID Escola,ID Inep,Escola,DRE,Tipo de Ensino,Possui 3o Ano,Área Urbana,Categoria,SAEB 23 Taxa Participação,SAEB 23 Nota Média PT,SAEB 23 Nota Média Mat,SAESE 24 Proficiência PT,SAESE 24 Proficiência MAT,Participação Avaliação Diagnóstica,Rendimento Médio Língua Portuguesa Avaliação Diagnóstica,Rendimento Médio Matemática Avaliação Diagnóstica,Número de Alunos,Participação Avaliação Formativa,Rendimento LP Avaliação Formativa,Rendimento MAT Avaliação Formativa
14202768,28018494,CENTRO DE EXCELÊNCIA NELSON MANDELA,DEA,Ensino Médio Integral,Sim,Urbana,Regular,0.92,258.83,259.0,256.1,249.9,0.78,0.55,0.48,341,0.862,0.5893,0.476
14202643,28018702,COLÉGIO ESTADUAL JORNALISTA PAULO COSTA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,0.9032,265.42,258.67,279.5,256.7,0.73,0.39,0.24,406,0.808,0.445,0.355
14202738,28019717,CENTRO DE EXCELENCIA CORONEL FRANCISCO SOUZA PORTO,DEA,Ensino Médio Integral,Sim,Urbana,Regular,,,,,,0.94,0.31,0.27,66,1.0,0.4323,0.547
14202627,28018117,COLÉGIO ESTADUAL PROFESSOR BENEDITO OLIVEIRA,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,0.9221,268.06,262.22,263.5,246.2,0.78,0.39,0.34,461,0.854,0.3613,0.338
14202782,28018400,CENTRO DE EXCELÊNCIA PROFESSOR GONÇALO ROLLEMBERG LEITE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,0.9286,282.93,278.03,284.0,280.5,0.94,0.38,0.3,203,0.941,0.5198,0.57
11046445,28017838,CENTRO DE EXCELENCIA ATHENEU SERGIPENSE,DEA,Ensino Médio Integral,Sim,Urbana,Regular,0.9844,292.72,280.93,301.6,290.7,0.98,0.49,0.56,958,0.988,0.8187,0.804
14202605,28018435,CENTRO DE EXCELÊNCIA BARÃO DE MAUÁ,DEA,Ensino Médio Integral,Sim,Urbana,Regular,0.9889,283.83,267.35,277.3,262.4,0.93,0.51,0.46,598,0.942,0.6046,0.525
14202730,28026730,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO PROFISSIONAL JOSÉ FIGUEIREDO BARRETO,DEA,Ensino Profissional,Sim,Urbana,Regular,,,,268.1,258.4,0.92,0.45,0.43,298,0.929,0.5939,0.555
14202612,28019180,COLÉGIO ESTADUAL PAULINO NASCIMENTO,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,0.8052,239.17,245.45,246.1,241.1,0.89,0.31,0.27,196,0.936,0.3256,0.287
14202907,28018818,COLÉGIO ESTADUAL OLAVO BILAC,DEA,Ensino Médio Parcial,Sim,Urbana,Regular,0.8833,253.89,249.0,237.5,235.9,0.73,0.4,0.37,370,0.81,0.46,0.319
