UF;Sigla;Regiao;Rede;Ano;Taxa_Aprovacao;Indicador_Rendimento;SAEB_Matematica;SAEB_Portugues;SAEB_Nota_Media;IDEB
Rondônia;RO;Norte;Estadual;2005;69.5;0.704518;265.37;252.94;4.203025;3.0
Rondônia;RO;Norte;Estadual;2007;72.5;0.72522;266.22;253.67;4.226014;3.1
Rondônia;RO;Norte;Estadual;2009;74.4;0.799557;275.46;271.11;4.616867;3.7
Rondônia;RO;Norte;Estadual;2011;73.3;0.740117;272.45;265.88;4.496299;3.3
Rondônia;RO;Norte;Estadual;2013;77.3;0.78183;268.08;260.28;4.35109;3.4
Rondônia;RO;Norte;Estadual;2015;75.3;0.763754;261.67;264.52;4.324535;3.3
Rondônia;RO;Norte;Estadual;2017;84.2;0.849777;268.05;264.91;4.41998;3.8
Rondônia;RO;Norte;Estadual;2019;85.3;0.860582;275.89;275.8;4.693116;4.0
Rondônia;RO;Norte;Estadual;2021;88.3;0.885811;265.13;270.14;4.457262;3.9
Rondônia;RO;Norte;Estadual;2023;90.4;0.90791;264.91;268.64;4.431717;4.0
Acre;AC;Norte;Estadual;2005;72.7;0.770317;249.89;245.24;3.870503;3.0
Acre;AC;Norte;Estadual;2007;74.5;0.799603;260.76;256.06;4.185107;3.3
Acre;AC;Norte;Estadual;2009;78.2;0.807854;261.53;264.29;4.319126;3.5
Acre;AC;Norte;Estadual;2011;78.7;0.822252;254.9;253.38;4.062684;3.3
Acre;AC;Norte;Estadual;2013;78.1;0.788826;255.67;258.56;4.151044;3.3
Acre;AC;Norte;Estadual;2015;78.7;0.837531;255.7;260.38;4.178711;3.5
Acre;AC;Norte;Estadual;2017;84.0;0.847574;260.01;261.51;4.25616;3.6
Acre;AC;Norte;Estadual;2019;81.8;0.843386;265.72;268.17;4.436058;3.7
Acre;AC;Norte;Estadual;2021;85.9;0.862701;265.32;272.99;4.502595;3.9
Acre;AC;Norte;Estadual;2023;86.8;0.878289;264.15;269.17;4.428977;3.9
Amazonas;AM;Norte;Estadual;2005;66.3;0.667189;236.75;226.88;3.411052;2.3
Amazonas;AM;Norte;Estadual;2007;77.4;0.7691;244.69;235.47;3.651172;2.8
Amazonas;AM;Norte;Estadual;2009;76.5;0.815761;251.4;250.57;3.971461;3.2
Amazonas;AM;Norte;Estadual;2011;83.2;0.836128;253.33;254.77;4.061442;3.4
Amazonas;AM;Norte;Estadual;2013;80.5;0.808651;243.64;242.41;3.740317;3.0
Amazonas;AM;Norte;Estadual;2015;82.5;0.827071;256.5;261.61;4.20836;3.5
Amazonas;AM;Norte;Estadual;2017;83.2;0.833986;247.23;251.31;3.923971;3.3
Amazonas;AM;Norte;Estadual;2019;82.3;0.862818;248.71;255.97;4.014518;3.5
Amazonas;AM;Norte;Estadual;2021;91.5;0.915832;245.54;255.72;3.966253;3.6
Amazonas;AM;Norte;Estadual;2023;89.2;0.893933;255.53;261.16;4.188;3.7
Roraima;RR;Norte;Estadual;2005;75.7;0.765766;265.76;254.92;4.238248;3.2
Roraima;RR;Norte;Estadual;2007;77.4;0.784722;254.46;247.11;3.962642;3.1
Roraima;RR;Norte;Estadual;2009;80.0;0.806973;263.87;260.81;4.299895;3.5
Roraima;RR;Norte;Estadual;2011;77.9;0.820426;262.49;259.23;4.25686;3.5
Roraima;RR;Norte;Estadual;2013;74.4;0.794136;253.85;253.06;4.043147;3.2
Roraima;RR;Norte;Estadual;2015;79.5;0.837295;254.42;257.16;4.112529;3.4
Roraima;RR;Norte;Estadual;2017;79.5;0.83685;249.19;249.05;3.917667;3.3
Roraima;RR;Norte;Estadual;2019;82.3;0.831134;258.79;262.39;4.252199;3.5
Roraima;RR;Norte;Estadual;2021;86.1;0.861983;259.99;265.32;4.312915;3.7
Roraima;RR;Norte;Estadual;2023;87.2;0.875029;255.63;257.07;4.128177;3.6
Pará;PA;Norte;Estadual;2005;67.7;0.725433;241.96;236.92;3.634458;2.6
Pará;PA;Norte;Estadual;2007;61.2;0.614422;244.34;236.79;3.666016;2.3
Pará;PA;Norte;Estadual;2009;66.0;0.725366;256.76;257.25;4.146742;3.0
Pará;PA;Norte;Estadual;2011;67.5;0.737435;241.6;244.29;3.739809;2.8
Pará;PA;Norte;Estadual;2013;68.0;0.741396;240.27;238.42;3.633255;2.7
Pará;PA;Norte;Estadual;2015;70.4;0.753073;250.36;250.68;3.958501;3.0
Pará;PA;Norte;Estadual;2017;74.0;0.785792;237.25;237.87;3.582605;2.8
Pará;PA;Norte;Estadual;2019;76.8;0.802824;246.08;252.84;3.930724;3.2
Pará;PA;Norte;Estadual;2021;71.0;0.75017;246.26;255.75;3.976815;3.0
Pará;PA;Norte;Estadual;2023;99.0;0.989691;258.87;266.47;4.314401;4.3
Amapá;AP;Norte;Estadual;2005;68.1;0.689273;253.17;244.49;3.905304;2.7
Amapá;AP;Norte;Estadual;2007;68.2;0.692463;247.58;244.58;3.828139;2.7
Amapá;AP;Norte;Estadual;2009;68.7;0.696689;254.61;254.93;4.081815;2.8
Amapá;AP;Norte;Estadual;2011;69.8;0.744459;249.15;255.69;4.016507;3.0
Amapá;AP;Norte;Estadual;2013;70.5;0.742121;246.15;247.25;3.848024;2.9
Amapá;AP;Norte;Estadual;2015;73.3;0.774191;248.58;253.15;3.970477;3.1
Amapá;AP;Norte;Estadual;2017;74.6;0.78917;242.86;247.58;3.806757;3.0
Amapá;AP;Norte;Estadual;2019;76.7;0.796978;248.72;256.64;4.024689;3.2
Amapá;AP;Norte;Estadual;2021;74.8;0.750313;251.96;263.63;4.174835;3.1
Amapá;AP;Norte;Estadual;2023;84.9;0.853631;254.36;264.77;4.225609;3.6
Tocantins;TO;Norte;Estadual;2005;75.9;0.796381;244.57;234.07;3.628493;2.9
Tocantins;TO;Norte;Estadual;2007;79.6;0.825183;248.18;240.98;3.782673;3.1
Tocantins;TO;Norte;Estadual;2009;80.8;0.835085;251.98;249.92;3.969877;3.3
Tocantins;TO;Norte;Estadual;2011;80.5;0.844755;259.25;255.39;4.15387;3.5
Tocantins;TO;Norte;Estadual;2013;78.8;0.823834;249.97;245.08;3.869191;3.2
Tocantins;TO;Norte;Estadual;2015;79.6;0.822683;251.92;250.09;3.971579;3.3
Tocantins;TO;Norte;Estadual;2017;83.8;0.871359;260.39;256.92;4.192785;3.7
Tocantins;TO;Norte;Estadual;2019;87.7;0.895483;264.15;262.86;4.334516;3.9
Tocantins;TO;Norte;Estadual;2021;94.2;0.956515;261.32;264.73;4.322763;4.1
Tocantins;TO;Norte;Estadual;2023;94.6;0.960377;261.29;263.7;4.306922;4.1
Maranhão;MA;Nordeste;Estadual;2005;71.0;0.751929;229.95;222.61;3.251666;2.4
Maranhão;MA;Nordeste;Estadual;2007;73.2;0.776661;240.88;236.04;3.606193;2.8
Maranhão;MA;Nordeste;Estadual;2009;77.1;0.806098;242.45;243.51;3.74007;3.0
Maranhão;MA;Nordeste;Estadual;2011;75.5;0.790571;242.49;244.81;3.760093;3.0
Maranhão;MA;Nordeste;Estadual;2013;75.8;0.788419;238.65;236.27;3.578316;2.8
Maranhão;MA;Nordeste;Estadual;2015;79.4;0.81858;246.56;244.86;3.818004;3.1
Maranhão;MA;Nordeste;Estadual;2017;86.0;0.864185;247.26;250.39;3.91062;3.4
Maranhão;MA;Nordeste;Estadual;2019;90.5;0.905321;249.77;256.57;4.038388;3.7
Maranhão;MA;Nordeste;Estadual;2021;89.0;0.890247;243.99;253.98;3.918436;3.5
Maranhão;MA;Nordeste;Estadual;2023;92.3;0.924666;251.07;254.65;4.027904;3.7
